#{"t_start": 1781496808.1531193, "env_id": "None"}
r,l,t
172.434559,200,3.225391
171.522666,200,3.346345
170.908999,200,3.462467
173.639604,200,3.580645
172.837174,200,3.702079
173.979628,200,3.814068
171.055908,200,3.933396
170.391815,200,4.046558
171.408638,200,4.159466
173.712007,200,4.271953
171.948036,200,5.665788
173.3106,200,5.786931
173.375185,200,5.932393
172.801371,200,6.057268
170.917953,200,6.178492
173.958305,200,6.301293
170.738281,200,6.40803
173.940885,200,6.528728
171.50646,200,6.649692
171.392867,200,6.78045
171.543265,200,8.088848
171.16716,200,8.216792
170.84333,200,8.366118
170.573929,200,8.498607
173.384589,200,8.640236
172.70102,200,9.767841
173.57718,200,9.893139
173.111433,200,10.022398
170.896096,200,10.140399
171.310411,200,10.258446
173.324494,200,11.531861
172.547818,200,11.670399
172.69193,200,11.788395
171.569305,200,11.924107
173.786084,200,12.047697
171.83015,200,12.168485
173.186763,200,12.303663
172.958292,200,12.413197
172.155261,200,12.545789
170.261597,200,12.683985
170.022178,200,13.981803
174.284216,200,14.120537
172.820408,200,14.251897
173.623198,200,14.371616
172.866719,200,14.492667
173.127664,200,14.641102
171.847657,200,14.765784
171.725061,200,14.907872
170.999781,200,15.027792
172.565333,200,15.165336
173.183613,200,16.130988
172.232949,200,17.426373
170.145882,200,17.556931
174.195621,200,17.675299
170.478082,200,17.796588
170.825004,200,17.942182
174.486561,200,18.08747
170.970326,200,18.21832
172.068546,200,18.355978
173.483585,200,18.504945
171.216961,200,18.648134
171.552285,200,20.184817
173.104599,200,20.336666
171.540543,200,20.502176
173.390433,200,20.63709
172.214668,200,20.77401
171.956464,200,20.926514
171.381534,200,21.057332
171.445828,200,21.194996
174.238083,200,21.327287
171.044924,200,21.450706
172.058939,200,22.83498
172.202677,200,22.978526
173.337808,200,23.128239
173.65956,200,23.260422
172.577648,200,24.287345
172.525032,200,24.42394
172.614996,200,24.578497
171.372902,200,24.718181
172.072414,200,24.861907
174.010571,200,25.005164
174.616381,200,26.497573
171.539942,200,26.656134
169.221287,200,26.827648
173.29272,200,26.944684
172.916633,200,27.068797
172.729768,200,27.203515
172.147719,200,27.325331
171.959126,200,27.449166
173.011432,200,27.570554
171.945934,200,27.704708
172.850774,200,27.832365
172.788139,200,29.210152
173.596035,200,29.365377
174.083003,200,29.512367
174.601829,200,29.63516
172.416789,200,29.752822
171.359941,200,29.879229
172.110063,200,30.003446
174.12579,200,30.145302
170.299219,200,31.138009
170.992662,200,31.268412
172.961806,200,32.621195
170.815579,200,32.749701
172.354692,200,32.897416
173.828147,200,33.057621
173.119167,200,33.1777
171.095245,200,33.289919
173.792229,200,33.411366
170.56804,200,33.552266
171.665964,200,33.687075
172.602791,200,33.816487
172.873889,200,35.1398
173.257778,200,35.275664
172.751959,200,35.415574
171.892143,200,35.561543
173.097458,200,35.67761
170.98677,200,35.785192
173.617754,200,35.930642
173.101005,200,36.048137
170.969559,200,36.180222
173.209952,200,36.307381
172.788135,200,37.618704
172.784343,200,37.754904
172.028772,200,37.899177
169.911871,200,38.88787
170.836244,200,39.005747
174.462745,200,39.124177
174.71095,200,39.287013
172.136082,200,39.421007
173.897674,200,39.533576
173.895779,200,39.657475
169.310862,200,39.767666
170.046072,200,41.097227
173.790584,200,41.226166
172.848296,200,41.340938
171.715839,200,41.460459
173.020449,200,41.600729
170.25336,200,41.71595
170.916395,200,41.846293
173.555056,200,41.97812
173.724406,200,42.094936
171.635239,200,42.217465
172.106087,200,43.55691
171.675819,200,43.682927
172.785615,200,43.799584
174.043045,200,43.922484
172.782621,200,44.056771
172.145463,200,44.185212
171.104566,200,44.342296
171.459092,200,45.362228
172.547412,200,45.490375
172.325077,200,45.618674
172.180026,200,46.934736
170.65603,200,47.057387
172.381957,200,47.192294
174.563577,200,47.317441
172.420029,200,47.466266
172.622374,200,47.60403
172.260386,200,47.750864
171.494644,200,47.896543
174.113947,200,48.018969
170.481673,200,48.13387
170.366641,200,49.59237
170.367002,200,49.755746
172.31001,200,49.926873
170.140884,200,50.081891
174.915688,200,50.221282
170.441704,200,50.350727
174.315568,200,50.471746
171.414784,200,50.597952
171.880827,200,50.735597
169.356595,200,50.874909
172.839577,200,51.007848
